Datetime,Water Level (m)
2023-09-19 18:00:00,-0.46297133
2023-09-19 19:00:00,0.7568818
2023-09-19 20:00:00,1.9039258
2023-09-19 21:00:00,2.5239215
2023-09-19 22:00:00,2.7912257
2023-09-19 23:00:00,2.5838513
2023-09-20 00:00:00,1.8911695
2023-09-20 01:00:00,1.0325371
2023-09-20 02:00:00,0.3675448
2023-09-20 03:00:00,-0.11832021
2023-09-20 04:00:00,-0.4661183
2023-09-20 05:00:00,-0.72531754
2023-09-20 06:00:00,-0.6255972
2023-09-20 07:00:00,0.44375795
2023-09-20 08:00:00,1.7216392
2023-09-20 09:00:00,2.3726385
2023-09-20 10:00:00,2.655772
2023-09-20 11:00:00,2.4669063
2023-09-20 12:00:00,1.7371035
2023-09-20 13:00:00,0.91970366
2023-09-20 14:00:00,0.27502114
2023-09-20 15:00:00,-0.22326542
2023-09-20 16:00:00,-0.569423
2023-09-20 17:00:00,-0.8476814
2023-09-20 18:00:00,-0.91081023
2023-09-20 19:00:00,-0.18971263
2023-09-20 20:00:00,1.1353501
2023-09-20 21:00:00,2.1582172
2023-09-20 22:00:00,2.5938258
2023-09-20 23:00:00,2.6932173
2023-09-21 00:00:00,2.2405264
2023-09-21 01:00:00,1.4061992
2023-09-21 02:00:00,0.67030424
2023-09-21 03:00:00,0.09370676
2023-09-21 04:00:00,-0.31951725
2023-09-21 05:00:00,-0.6080565
2023-09-21 06:00:00,-0.7957667
2023-09-21 07:00:00,-0.48717546
2023-09-21 08:00:00,0.51355034
2023-09-21 09:00:00,1.5985514
2023-09-21 10:00:00,2.1196575
2023-09-21 11:00:00,2.3182757
2023-09-21 12:00:00,2.0521836
2023-09-21 13:00:00,1.3005818
2023-09-21 14:00:00,0.5653672
2023-09-21 15:00:00,-0.015450486
2023-09-21 16:00:00,-0.43710178
2023-09-21 17:00:00,-0.74158365
2023-09-21 18:00:00,-0.9393967
2023-09-21 19:00:00,-0.7980174
2023-09-21 20:00:00,0.019147804
2023-09-21 21:00:00,1.1997821
2023-09-21 22:00:00,2.004464
2023-09-21 23:00:00,2.3414032
2023-09-22 00:00:00,2.3524556
2023-09-22 01:00:00,1.8564322
2023-09-22 02:00:00,1.100765
2023-09-22 03:00:00,0.45200562
2023-09-22 04:00:00,-0.057844292
2023-09-22 05:00:00,-0.4103587
2023-09-22 06:00:00,-0.6744399
2023-09-22 07:00:00,-0.8109144
2023-09-22 08:00:00,-0.51643026
2023-09-22 09:00:00,0.3304066
2023-09-22 10:00:00,1.2587142
2023-09-22 11:00:00,1.6851269
2023-09-22 12:00:00,1.8118949
2023-09-22 13:00:00,1.5928822
2023-09-22 14:00:00,0.9945761
2023-09-22 15:00:00,0.37861937
2023-09-22 16:00:00,-0.12322263
2023-09-22 17:00:00,-0.49675462
2023-09-22 18:00:00,-0.77189463
2023-09-22 19:00:00,-0.9280461
